所属阶段,所属模块,任务名称,任务描述,优先级,负责人,预计工时
R0,架构,R00 接口兼容映射冻结,输出旧路径到蓝图标准路径的兼容映射并明确保留策略,1,独立开发者,3
R0,架构,R01 可见性矩阵冻结,冻结 timeline 与 file 的角色可见性矩阵,1,独立开发者,2
DB,数据库,DB01 新增 case_flows 表,新增 case_flows 与 visible_to 字段及索引并完成迁移回滚,1,独立开发者,4
DB,数据库,DB02 扩展 files 字段,新增 uploader_role description parse_status 并补历史数据,1,独立开发者,5
DB,数据库,DB03 扩展 cases 解析字段,新增 analysis_status 与 analysis_progress 字段,1,独立开发者,3
DB,数据库,DB04 案号自动生成,未手动输入时按规则自动生成案号并支持手动优先,2,独立开发者,5
BE,后端,BE01 案件详情改为持久化时间流,案件详情改为读取 case_flows 不再运行时拼装,1,独立开发者,4
BE,后端,BE02 统一时间流写入服务,创建上传解析失败重解析统一写入 case_flows,1,独立开发者,6
BE,后端,BE03 文件可见性权限改造,当事人仅可下载自己上传文件律师文件仅显示名称,1,独立开发者,4
BE,后端,BE04 当事人删除本人文件,仅允许当事人删除自己上传的文件,2,独立开发者,3
BE,后端,BE05 自动重解析+5分钟防抖,补充材料后自动触发重解析并防抖 5 分钟,1,独立开发者,4
BE,后端,BE06 client 可订阅 AI 进度 WS,允许当事人订阅本人案件任务进度并做越权拦截,1,独立开发者,4
BE,后端,BE07 落地 DB 队列模型,以 ai_tasks+worker 实现生产消费重试死信替代进程内线程执行并预留队列驱动扩展,1,独立开发者,12
BE,后端,BE08 AI 进度回写案件与时间流,AI 各阶段进度同步到 cases 与 case_flows,1,独立开发者,6
BE,后端,BE09 补齐标准案件接口,补齐 /cases/{id}/files 与 /cases/{id}/report 并保留旧路径,2,独立开发者,4
BE,后端,BE10 接入 Node+Puppeteer 报告服务,实现独立 Node+Puppeteer PDF 生成服务接入与调用,1,独立开发者,10
BE,后端,BE11 报告历史可见性策略,律师可见历史报告记录当事人仅可见最新报告,2,独立开发者,4
BE,后端,BE12 AI 成本熔断,实现租户月预算上限+单案件预算上限+超额降级模型或停用自动解析并写入时间流,1,独立开发者,6
WEB,Web前端,FEW01 Web 案件详情字段对齐,对齐持久化时间流与解析状态字段展示,2,独立开发者,5
WEB,Web前端,FEW02 Web功能对齐基线清单,输出 Web 律师端完整功能清单供小程序对齐,2,独立开发者,3
MINI,小程序-当事人,FEM01 当事人案件详情重排,按蓝图重排概览时间流摘要证据操作区,1,独立开发者,8
MINI,小程序-当事人,FEM02 律师文件名称可见不可下载,实现律师上传文件仅显示名称的策略,1,独立开发者,3
MINI,小程序-当事人,FEM03 删除本人上传文件,实现当事人删除本人上传文件交互,2,独立开发者,3
MINI,小程序-当事人,FEM04 补充材料独立页,实现多文件逐文件描述确认提交流程,1,独立开发者,6
MINI,小程序-当事人,FEM05 WS+轮询双通道进度,实现实时进度与断连轮询兜底,1,独立开发者,4
MINI,小程序-当事人,FEM06 登录后按案件数分流,单案件直达详情多案件进入列表,2,独立开发者,2
MINI,小程序-当事人,FEM07 当事人报告下载入口,接入报告下载与打开流程,2,独立开发者,2
MINI,小程序-律师,FEM08 律师端对齐一期,先交付核心闭环能力再分期补齐 Web 全量能力,2,独立开发者,5
QA,测试,QA01 权限回归测试补齐,补齐可见性跨租户越权回归用例,1,独立开发者,6
QA,测试,QA02 主链路 E2E 自动化,自动化创建邀请上传解析下载端到端链路,1,独立开发者,8
OPS,运维,OPS01 MQ/WS/AI 监控告警,配置队列积压失败率WS错误率告警,3,独立开发者,5
OPS,运维,OPS02 发布与回滚脚本更新,更新迁移与新服务发布回滚脚本,3,独立开发者,4
